parent_id,child_id,origin
DB01132,DBMET01303,DB01132
DB01142,DBMET00834,DB01142
DB01142,DBMET00845,DB01142
DB01142,DBMET00881,DB01142
DB01142,DBMET00872,DB01142
DB01142,DBMET00874,DB01142
DB01151,DBMET00679,DB01151
DB01156,DBMET03485,DB01156
DB01156,DBMET03486,DB01156
DB01156,DBMET03477,DB01156
DB01156,DBMET03480,DB01156
DB01156,DBMET03474,DB01156
DB01156,DBMET03480,DB01156
DB01156,DBMET03487,DB01156
DB01156,DBMET03488,DB01156
DB01156,DBMET03490,DB01156
DB01156,DBMET03489,DB01156
DB01156,DBMET03469,DB01156
DB01156,DBMET03471,DB01156
DB01156,DBMET03474,DB01156
DB01156,DBMET03475,DB01156
DB01156,DBMET03477,DB01156
DB01156,DBMET03478,DB01156
DB01156,DBMET03480,DB01156
DB01156,DBMET03481,DB01156
DB01161,DBMET03557,DB01161
DB01162,DBMET02359,DB01162
DB01171,DBMET02151,DB01171
DB01174,DBMET01217,DB01174
DB01174,DBMET01218,DB01174
DB01175,DBMET03673,DB01175
DB01175,DBMET02783,DB01175
DB01175,DBMET02782,DB01175
DB01175,DBMET02783,DB01175
DB01175,DBMET02783,DB01175
DB12902,DBMET03248,DB12902
DB12902,DBMET01077,DB12902
DB12902,DBMET00792,DB12902
DB12902,DBMET01100,DB12902
DB01217,DBMET02827,DB01217
DB01221,DBMET01308,DB01221
DB01221,DBMET01309,DB01221
DB01221,DBMET01310,DB01221
DB01221,DBMET01310,DB01221
DB01221,DBMET01309,DB01221
DB01221,DBMET01308,DB01221
DB01222,DBMET02913,DB01222
DB01227,DBMET00843,DB01227
DB01234,DB01234,DB01234
DB01235,DBMET02447,DB01235
DB01235,DBMET02441,DB01235
DB01235,DBMET02446,DB01235
DB01238,DBMET02455,DB01238
DB01238,DBMET02456,DB01238
DB01238,DBMET02458,DB01238
DB01238,DBMET02465,DB01238
DB01242,DBMET00835,DB01242
DB01242,DBMET01069,DB01242
DB01242,DBMET01071,DB01242
DB01242,DBMET01072,DB01242
DB01242,DBMET01073,DB01242
DB01255,DBMET03722,DB01255
DB01261,DBMET02433,DB01261
DB01262,DBMET03188,DB01262
DB01262,DBMET03191,DB01262
DB01275,DBMET02814,DB01275
DB01275,DBMET00864,DB01275
DB01275,DBMET02815,DB01275
DB01275,DBMET02815,DB01275
DB01275,DBMET02819,DB01275
DB01275,DBMET02821,DB01275
DB01280,DBMET03664,DB01280
DB01280,DB02377,DB01280
DB01280,DB02377,DB01280
DB01283,DBMET01275,DB01283
DB01283,DBMET01281,DB01283
DB01283,DBMET01282,DB01283
DB01283,DBMET01284,DB01283
DB01283,DBMET01284,DB01283
DB01355,DBMET01214,DB01355
DB01355,DBMET01216,DB01355
DB01413,DBMET00960,DB01413
DB01420,DBMET00593,DB01420
DB01452,DBMET00313,DB01452
DB01586,DB06777,DB01586
DB01589,DBMET00933,DB01589
DB01589,DBMET03600,DB01589
DB01601,DBMET03071,DB01601
DB01620,DBMET02636,DB01620
DB01628,DBMET01271,DB01628
DB01628,DBMET01272,DB01628
DB01628,DBMET01273,DB01628
DB04817,DBMET03542,DB04817
DB04817,DBMET03543,DB04817
DB04854,DBMET03281,DB04854
DB04855,DBMET02839,DB04855
DB04855,DBMET02840,DB04855
DB04855,DBMET02842,DB04855
DB04855,DBMET02843,DB04855
DB04896,DBMET02301,DB04896
DB04948,DBMET02113,DB04948
DB04948,DBMET02112,DB04948
DB04951,DBMET03219,DB04951
DB05109,DBMET01137,DB05109
DB05351,DBMET03754,DB05351
DB05351,DBMET03757,DB05351
DB05351,DBMET03756,DB05351
DB05676,DBMET02625,DB05676
DB06016,DBMET03492,DB06016
DB06204,DBMET03693,DB06204
DB06207,DBMET03296,DB06207
DB06207,DBMET03297,DB06207
DB06209,DBMET00483,DB06209
DB06230,DBMET01861,DB06230
DB06230,DBMET01862,DB06230
DB06237,DBMET03271,DB06237
DB06263,DBMET02165,DB06263
DB06282,DBMET02649,DB06282
DB06403,DBMET01406,DB06403
DB06419,DBMET03135,DB06419
DB06419,DBMET03137,DB06419
DB06419,DBMET03137,DB06419
DB06448,DBMET03218,DB06448
DB06480,DBMET02198,DB06480
DB06636,DBMET03759,DB06636
DB06670,DBMET01473,DB06670
DB06670,DBMET01475,DB06670
DB06695,DB14726,DB06695
DB06695,DB14726,DB06695
DB06695,DBMET03390,DB06695
DB14726,DBMET03380,DB14726
DB14726,DBMET03382,DB14726
DB14726,DBMET03382,DB14726
DB14726,DBMET03385,DB14726
DB14726,DBMET02414,DB14726
DB14726,DBMET02415,DB14726
DB14726,DBMET02416,DB14726
DB14726,DBMET03387,DB14726
DB14726,DBMET03388,DB14726
DB14726,DBMET03389,DB14726
DB00285,DBMET00958,DB00285
DB06738,DBMET01296,DB06738
DB06738,DBMET01298,DB06738
DB06738,DBMET01299,DB06738
DB06751,DBMET03304,DB06751
DB06751,DBMET03304,DB06751
DB06755,DBMET02046,DB06755
DB06769,DBMET01424,DB06769
DB06824,DBMET01457,DB06824
DB07565,DBMET03159,DB07565
DB07565,DBMET03162,DB07565
DB07565,DBMET03163,DB07565
DB07565,DBMET03164,DB07565
DB07565,DBMET03166,DB07565
DB07565,DBMET03168,DB07565
DB07565,DBMET03163,DB07565
DB07565,DBMET03164,DB07565
DB08804,DBMET03361,DB08804
DB08804,DBMET03362,DB08804
DB08822,DBMET03336,DB08822
DB08822,DBMET03337,DB08822
DB08828,DBMET03661,DB08828
DB08828,DBMET03662,DB08828
DB08860,DBMET03740,DB08860
DB08864,DBMET01866,DB08864
DB08864,DBMET01869,DB08864
DB08877,DBMET03263,DB08877
DB08881,DBMET01855,DB08881
DB08881,DBMET01856,DB08881
DB08882,DBMET02384,DB08882
DB08882,DBMET02385,DB08882
DB08882,DBMET02384,DB08882
DB08882,DBMET02389,DB08882
DB08893,DBMET03331,DB08893
DB08893,DBMET03333,DB08893
DB08893,DBMET03334,DB08893
DB08899,DBMET03550,DB08899
DB08906,DBMET03674,DB08906
DB08911,DBMET03642,DB08911
DB08911,DBMET03644,DB08911
DB08912,DBMET03511,DB08912
DB08921,DBMET01191,DB08921
DB08921,DBMET01191,DB08921
DB08930,DBMET03561,DB08930
DB08930,DBMET01873,DB08930
DB08932,DBMET03420,DB08932
DB08932,DBMET03421,DB08932
DB08932,DBMET03425,DB08932
DB08934,DBMET01382,DB08934
DB08949,DBMET01487,DB08949
DB09039,DBMET03449,DB09039
DB09039,DBMET03453,DB09039
DB09039,DBMET03454,DB09039
DB09042,DBMET03124,DB09042
DB09042,DBMET03124,DB09042
DB09042,DBMET03127,DB09042
DB09053,DBMET02024,DB09053
DB09053,DBMET02026,DB09053
DB09053,DBMET02028,DB09053
DB09053,DBMET02024,DB09053
DB09059,DBMET02066,DB09059
DB09059,DBMET02067,DB09059
DB09068,DBMET01390,DB09068
DB09069,DBMET03346,DB09069
DB09069,DBMET03347,DB09069
DB09069,DBMET03349,DB09069
DB09069,DBMET03350,DB09069
DB09069,DBMET03351,DB09069
DB09069,DBMET03352,DB09069
DB09072,DBMET01477,DB09072
DB09072,DBMET01477,DB09072
DB09074,DBMET03441,DB09074
DB09076,DBMET03680,DB09076
DB09079,DBMET02778,DB09079
DB09081,DBMET01522,DB09081
DB09089,DBMET01504,DB09089
DB09089,DBMET01506,DB09089
DB09096,DB09157,DB09096
DB09096,DBMET03364,DB09096
DB09116,DBMET01897,DB09116
DB09116,DBMET01898,DB09116
DB09119,DBMET01413,DB09119
DB09167,DBMET01520,DB09167
DB09173,DBMET02692,DB09173
DB09173,DBMET02694,DB09173
DB09185,DBMET03494,DB09185
DB09194,DBMET02172,DB09194
DB09194,DBMET02175,DB09194
DB09194,DBMET02176,DB09194
DB09194,DBMET02177,DB09194
DB09194,DBMET02178,DB09194
DB09194,DBMET02177,DB09194
DB09194,DBMET02176,DB09194
DB09194,DBMET02183,DB09194
DB09194,DBMET02184,DB09194
DB09205,DBMET01915,DB09205
DB09205,DBMET01916,DB09205
DB09205,DBMET01918,DB09205
DB09216,DBMET01932,DB09216
DB09216,DBMET01933,DB09216
DB09216,DBMET01936,DB09216
DB09216,DBMET01938,DB09216
DB09216,DBMET01939,DB09216
DB09216,DBMET01940,DB09216
DB09223,DBMET01889,DB09223
DB09223,DBMET01891,DB09223
DB09223,DBMET01894,DB09223
DB09227,DBMET01900,DB09227
DB09227,DBMET01902,DB09227
DB09229,DBMET01950,DB09229
DB09229,DBMET01951,DB09229
DB09229,DBMET01951,DB09229
DB09237,DBMET02938,DB09237
DB09237,DBMET02940,DB09237
DB09256,DB00544,DB09256
DB06697,DBMET03143,DB06697
DB00300,DBMET01177,DB00300
DB09300,DBMET01510,DB09300
DB00322,DBMET02004,DB00322
DB00322,DBMET01999,DB00322
DB00322,DBMET02000,DB00322
DB09546,DBMET01493,DB09546
DB09570,DBMET03785,DB09570
DB09570,DBMET03786,DB09570
DB09570,DBMET03783,DB09570
DB11094,DBMET00608,DB11094
DB11127,DBMET01458,DB11127
DB11127,DBMET01461,DB11127
DB11127,DBMET01460,DB11127
DB01452,DBMET00313,DB01452
DB01452,DB06409,DB01452
DB01452,DBMET00462,DB01452
DB00295,DBMET02018,DB00295
DB11219,DBMET02092,DB11219
DB11251,DBMET02035,DB11251
DB11362,DBMET02144,DB11362
DB11586,DBMET02051,DB11586
DB11637,DBMET01966,DB11637
DB11637,DBMET01968,DB11637
DB11637,DBMET01972,DB11637
DB11660,DB01955,DB11660
DB11677,DBMET03173,DB11677
DB11677,DBMET03174,DB11677
DB11677,DBMET03175,DB11677
DB11677,DBMET03176,DB11677
DB11682,DBMET03603,DB11682
DB11682,DBMET03605,DB11682
DB11689,DBMET03099,DB11689
DB11689,DBMET03101,DB11689
DB11689,DBMET03101,DB11689
DB11689,DBMET03103,DB11689
DB11703,DBMET02879,DB11703
DB11703,DBMET02880,DB11703
DB11703,DBMET02881,DB11703
DB11703,DBMET02883,DB11703
DB11703,DBMET02884,DB11703
DB11703,DBMET02886,DB11703
DB09301,DBMET02089,DB09301
DB11739,DBMET03565,DB11739
DB11757,DBMET02751,DB11757
DB11757,DBMET02752,DB11757
DB11763,DBMET03718,DB11763
DB11763,DBMET03710,DB11763
DB11763,DBMET03712,DB11763
DB11763,DBMET03711,DB11763
DB11763,DBMET03712,DB11763
DB11793,DBMET03568,DB11793
DB11827,DBMET01907,DB11827
DB11827,DBMET01908,DB11827
DB11901,DBMET03639,DB11901
DB11915,DBMET03700,DB11915
DB11915,DBMET03701,DB11915
DB11986,DBMET02747,DB11986
DB11986,DBMET02749,DB11986
DB12010,DBMET02095,DB12010
DB12010,DBMET02096,DB12010
DB12016,DBMET03310,DB12016
DB12016,DBMET03312,DB12016
DB12016,DBMET03309,DB12016
DB12016,DBMET03310,DB12016
DB12016,DBMET03310,DB12016
DB12184,DBMET03724,DB12184
DB12184,DBMET03724,DB12184
DB12184,DBMET03726,DB12184
DB12184,DBMET03726,DB12184
DB12265,DBMET03403,DB12265
DB12332,DBMET03520,DB12332
DB12332,DBMET03521,DB12332
DB12364,DBMET01537,DB12364
DB12364,DBMET01538,DB12364
DB12473,DBMET03766,DB12473
DB12489,DBMET03571,DB12489
DB13293,DBMET02107,DB13293
DB13293,DBMET02106,DB13293
DB13609,DBMET03050,DB13609
DB13609,DBMET03051,DB13609
DB13609,DBMET03052,DB13609
DB13609,DBMET03053,DB13609
DB13609,DBMET03054,DB13609
DB13609,DBMET03055,DB13609
DB13609,DBMET03056,DB13609
DB13609,DBMET03057,DB13609
DB13609,DBMET03058,DB13609
DB13609,DBMET03059,DB13609
DB13609,DBMET03060,DB13609
DB13609,DBMET03061,DB13609
DB13609,DBMET03062,DB13609
DB13729,DBMET03118,DB13729
DB13746,DBMET02077,DB13746
DB13783,DBMET02185,DB13783
DB13783,DBMET02186,DB13783
DB13783,DBMET02187,DB13783
DB13928,DBMET01887,DB13928
DB13941,DBMET01948,DB13941
DB01420,DBMET00593,DB01420
DB01420,DBMET00593,DB01420
DB13946,DBMET03175,DB13946
DB01420,DBMET02381,DB01420
DB01420,DBMET02382,DB01420
DB13960,DBMET02074,DB13960
DB13960,DBMET02075,DB13960
DB13960,DB12529,DB13960
DB11251,DBMET02035,DB11251
DB11251,DBMET02035,DB11251
DB11251,DBMET02035,DB11251
DB14009,DBMET02064,DB14009
DB00300,DBMET01177,DB00300
DB14185,DB01238,DB14185
DB14512,DBMET02367,DB14512
DB14512,DBMET02369,DB14512
DB14512,DBMET02369,DB14512
DB14568,DBMET03504,DB14568
DB14761,DBMET03215,DB14761
DB14761,DBMET03036,DB14761
DB14761,DBMET03036,DB14761
DB14881,DBMET03207,DB14881
DB14921,DBMET03498,DB14921
DB15465,DBMET02685,DB15465
DB15465,DBMET02684,DB15465
DB15566,DBMET02852,DB15566
DB15566,DBMET02854,DB15566
DB15566,DBMET02856,DB15566
DB15566,DBMET02857,DB15566
DB15566,DBMET02862,DB15566
DB15719,DBMET03202,DB15719
DB15719,DBMET03203,DB15719
DB15719,DBMET03204,DB15719
DB16165,DBMET03396,DB16165
DB16165,DBMET03400,DB16165
DB16200,DBMET03747,DB16200
DB16217,DBMET03656,DB16217
DB16217,DBMET03656,DB16217
DB16629,DBMET03283,DB16629
DB16629,DBMET03282,DB16629
DB00121,DB00121,DB00121
DB00126,DBMET00552,DB00126
DB00126,DBMET03076,DB00126
DB00126,DBMET03077,DB00126
DB00130,DB00129,DB00130
DB11635,DBMET02320,DB11635
DB00188,DBMET01064,DB00188
DB00188,DBMET01068,DB00188
DB00193,DBMET00956,DB00193
DB00193,DBMET00956,DB00193
DB00215,DBMET03706,DB00215
DB00242,DBMET00677,DB00242
DB00246,DBMET02991,DB00246
DB00250,DBMET01045,DB00250
DB00252,DBMET00989,DB00252
DB00252,DBMET00989,DB00252
DB00281,DBMET01089,DB00281
DB00313,DBMET01108,DB00313
DB00315,DBMET03121,DB00315
DB00343,DBMET03223,DB00343
DB00352,DBMET01155,DB00352
DB00352,DBMET01156,DB00352
DB00409,DBMET03196,DB00409
DB00409,DBMET03196,DB00409
DB00409,DBMET03196,DB00409
DB00412,DBMET00937,DB00412
DB00412,DBMET01113,DB00412
DB00421,DBMET02484,DB00421
DB00421,DBMET02485,DB00421
DB00421,DBMET03697,DB00421
DB00441,DBMET00859,DB00441
DB00461,DBMET02523,DB00461
DB00461,DBMET02529,DB00461
DB00461,DBMET02531,DB00461
DB00461,DBMET02531,DB00461
DB00461,DBMET02538,DB00461
DB00461,DBMET02541,DB00461
DB00461,DBMET02546,DB00461
DB00461,DBMET02538,DB00461
DB00461,DBMET02541,DB00461
DB00470,DBMET03558,DB00470
DB00472,DBMET01364,DB00472
DB00476,DBMET02507,DB00476
DB00476,DBMET02507,DB00476
DB00482,DBMET00813,DB00482
DB00502,DBMET01212,DB00502
DB00526,DBMET03684,DB00526
DB00526,DBMET03686,DB00526
DB00526,DBMET03688,DB00526
DB00526,DBMET03690,DB00526
DB00531,DBMET01088,DB00531
DB00531,DBMET01123,DB00531
DB00531,DBMET01088,DB00531
DB00531,DBMET01126,DB00531
DB00531,DBMET01147,DB00531
DB00549,DBMET01252,DB00549
DB00549,DBMET01253,DB00549
DB00564,DBMET00684,DB00564
DB00564,DBMET02601,DB00564
DB00574,DBMET03180,DB00574
DB00574,DBMET03181,DB00574
DB00580,DBMET01341,DB00580
DB00582,DBMET01186,DB00582
DB00586,DBMET02609,DB00586
DB00598,DBMET02677,DB00598
DB00598,DBMET02678,DB00598
DB00608,DBMET03064,DB00608
DB15566,DBMET02855,DB15566
DB15566,DBMET02858,DB15566
DB00640,DB00171,DB00640
DB00674,DBMET03151,DB00674
DB00674,DBMET03153,DB00674
DB00674,DBMET03156,DB00674
DB00675,DBMET01044,DB00675
DB00675,DBMET02702,DB00675
DB00675,DBMET02700,DB00675
DB00675,DBMET00737,DB00675
DB00675,DBMET02702,DB00675
DB00675,DBMET02700,DB00675
DB00675,DBMET00737,DB00675
DB00675,DBMET02715,DB00675
DB00675,DBMET02719,DB00675
DB00675,DBMET02719,DB00675
DB00675,DBMET02702,DB00675
DB00675,DBMET02700,DB00675
DB00675,DBMET02719,DB00675
DB00694,DBMET03406,DB00694
DB00694,DBMET03408,DB00694
DB00694,DBMET03407,DB00694
DB00694,DBMET03407,DB00694
DB00694,DBMET03408,DB00694
DB00718,DBMET01175,DB00718
DB00755,DBMET03632,DB00755
DB00763,DBMET02761,DB00763
DB00763,DBMET02762,DB00763
DB00770,DBMET03614,DB00770
DB01420,DBMET03005,DB01420
DB00808,DBMET01333,DB00808
DB00808,DBMET01333,DB00808
DB15566,DBMET02855,DB15566
DB15566,DBMET02858,DB15566
DB00949,DBMET01095,DB00949
DB00949,DBMET01096,DB00949
DB00949,DBMET01097,DB00949
DB00968,DBMET03315,DB00968
DB00755,DBMET02550,DB00755
DB00755,DBMET02550,DB00755
DB00985,DBMET01201,DB00985
DB00993,DBMET02965,DB00993
DB00993,DBMET00771,DB00993
DB00997,DBMET03628,DB00997
DB00997,DBMET03628,DB00997
DB01006,DBMET02983,DB01006
DB01015,DBMET01050,DB01015
DB01026,DBMET02659,DB01026
DB01026,DBMET02662,DB01026
DB01026,DBMET02666,DB01026
DB01026,DBMET02667,DB01026
DB01029,DBMET01056,DB01029
DB01029,DBMET01056,DB01029
DB01029,DBMET01056,DB01029
DB01029,DBMET01056,DB01029
DB01033,DBMET01152,DB01033
DB01033,DBMET01160,DB01033
DB00352,DBMET01155,DB00352
DB00352,DBMET01156,DB00352
DB01041,DB00130,DB01041
DB01041,DB02746,DB01041
DB01041,DB03091,DB01041
DB01041,DB02746,DB01041
DB01041,DB00130,DB01041
DB01041,DB02746,DB01041
DB01041,DBMET01121,DB01041
DB01041,DBMET01121,DB01041
DB01041,DBMET01121,DB01041
DB01041,DBMET01121,DB01041
DB01041,DBMET01121,DB01041
DB01060,DBMET03001,DB01060
DB01068,DBMET03608,DB01068
DB00985,DBMET01201,DB00985
DB00985,DBMET02238,DB00985
DB01101,DBMET00449,DB01101
DB00322,DBMET03582,DB00322
DB00322,DBMET03585,DB00322
DB00322,DBMET03589,DB00322
DB00322,DBMET03586,DB00322
DB00322,DBMET03589,DB00322
DB01142,DBMET00879,DB01142
DB01156,DBMET03482,DB01156
DB01156,DBMET03483,DB01156
DB01175,DBMET03673,DB01175
DB12902,DBMET01102,DB12902
DB12902,DBMET01103,DB12902
DB12902,DBMET01126,DB12902
DB12902,DBMET01127,DB12902
DB01222,DBMET00353,DB01222
DB01235,DBMET02442,DB01235
DB01235,DBMET02442,DB01235
DB01238,DBMET02457,DB01238
DB01238,DBMET02459,DB01238
DB01238,DBMET02460,DB01238
DB01238,DBMET02466,DB01238
DB01242,DBMET01074,DB01242
DB01242,DBMET01075,DB01242
DB01262,DBMET03189,DB01262
DB01275,DBMET02822,DB01275
DB01275,DBMET02823,DB01275
DB01280,DBMET03665,DB01280
DB01283,DBMET01276,DB01283
DB01283,DBMET01283,DB01283
DB01283,DBMET01285,DB01283
DB01283,DBMET01285,DB01283
DB01355,DBMET01215,DB01355
DB01438,DBMET02711,DB01438
DB04817,DBMET03544,DB04817
DB04855,DBMET02841,DB04855
DB04855,DBMET02844,DB04855
DB06670,DBMET01474,DB06670
DB06695,DBMET03391,DB06695
DB14726,DBMET03383,DB14726
DB14726,DBMET03383,DB14726
DB14726,DBMET03386,DB14726
DB07565,DBMET03160,DB07565
DB08860,DBMET03741,DB08860
DB08882,DBMET02390,DB08882
DB08882,DBMET02391,DB08882
DB08899,DBMET03551,DB08899
DB08912,DBMET03512,DB08912
DB08932,DBMET03426,DB08932
DB08934,DBMET01383,DB08934
DB08949,DBMET01488,DB08949
DB09039,DBMET03450,DB09039
DB09039,DBMET03451,DB09039
DB09039,DBMET03451,DB09039
DB09039,DBMET03454,DB09039
DB09081,DBMET01523,DB09081
DB09089,DBMET01507,DB09089
DB09194,DBMET02173,DB09194
DB09194,DBMET02174,DB09194
DB09205,DBMET01917,DB09205
DB09205,DBMET01919,DB09205
DB09216,DBMET01941,DB09216
DB09223,DBMET01895,DB09223
DB09227,DBMET01903,DB09227
DB09229,DBMET01953,DB09229
DB09229,DBMET01953,DB09229
DB09237,DBMET02941,DB09237
DB06697,DBMET03144,DB06697
DB00322,DBMET02005,DB00322
DB11127,DBMET01462,DB11127
DB11219,DBMET02093,DB11219
DB11251,DBMET02036,DB11251
DB11637,DBMET01967,DB11637
DB11637,DBMET01969,DB11637
DB11637,DBMET01970,DB11637
DB11677,DBMET03177,DB11677
DB11682,DBMET03603,DB11682
DB11703,DBMET02887,DB11703
DB09301,DB03501,DB09301
DB11763,DBMET03719,DB11763
DB11763,DBMET03711,DB11763
DB12010,DBMET02097,DB12010
DB12010,DBMET02098,DB12010
DB12010,DBMET02099,DB12010
DB12016,DBMET03309,DB12016
DB12095,DBMET03554,DB12095
DB12364,DBMET01539,DB12364
DB13746,DBMET02078,DB13746
DB11677,DBMET03176,DB11677
DB11251,DBMET02036,DB11251
DB11251,DBMET02036,DB11251
DB11251,DBMET02036,DB11251
DB14761,DBMET03035,DB14761
DB14761,DB15686,DB14761
DB14761,DBMET03038,DB14761
DB14761,DB15686,DB14761
DB14761,DBMET03038,DB14761
DB15566,DBMET02855,DB15566
DB15566,DBMET02858,DB15566
DB16165,DBMET03397,DB16165
DB16165,DBMET03401,DB16165
DB11635,DBMET02321,DB11635
DB00246,DBMET02992,DB00246
DB00250,DBMET01046,DB00250
