parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	TB_Cluster	possible_products
DB00318	Codeine	DB00295	Morphine	Cytochrome P450 2D6	DB00295	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	Both	0.7884615384615384	train	5	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
DB00624	Testosterone	DB01536	Androstenedione	Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 3A4	DB01420	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O	Both	0.6590909090909091	train	5	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O.CC12CC(O)C(=O)C=C1CCC1C2CCC2(C)C(O)CCC12.CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CC(O)C12.CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)C(O)CC12.CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12.CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O.CC12CCC3C(CCC4=CC(=O)CC(O)C43C)C1CCC2O.CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(O)CCC12.CC12CCC(=O)C=C1C(O)CC1C2CCC2(C)C(O)CCC12
DB00741	Hydrocortisone	DB14681	Cortisone	11-beta-hydroxysteroid dehydrogenase 1, 11-beta-hydroxysteroid dehydrogenase type 2	DB00741	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	DrugBank	0.6896551724137931	train	5	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO.CC12CCC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO.CC12CCC(=O)CC1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
DB00860	Prednisolone	DB00635	Prednisone		DB15566	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	DrugBank	0.6896551724137931	train	5	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO.CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(O)CO.CC12C=CC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
DB00956	Hydrocodone	DB00327	Hydromorphone	Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19	DB15465	COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	Both	0.7777777777777778	train	5	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5.COc1ccc2c3c1OC1C(=O)CCC4C(C2)NCCC314
DB01420	Testosterone propionate	DB00624	Testosterone		DB01420	CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.6415094339622641	train	5	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
DB01744	Camphor	DB02817	5-Exo-Hydroxycamphor	Cytochrome P450 2D6	DB01744	CC12CCC(CC1=O)C2(C)C	CC12CC(O)C(CC1=O)C2(C)C	Both	0.40625	train	5	CC12CC(O)C(CC1=O)C2(C)C.CC12CCC(CC1=O)C2(C)CO
DB04575	Quinestrol	DB00977	Ethinylestradiol		DB04575	C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C	DrugBank	0.7090909090909091	train	5	C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
DB08804	Nandrolone decanoate	DB13169	Nandrolone	3',5'-cyclic-AMP phosphodiesterase 7B	DB08804	CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C	CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O	DrugBank	0.603448275862069	train	5	CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O
DB09209	Pholcodine	DB00295	Morphine		DB09209	CN1CCC23c4c5ccc(OCCN6CCOCC6)c4OC2C(O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	DrugBank	0.6721311475409836	train	5	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
DB13943	Testosterone cypionate	DB00624	Testosterone		DB13943	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.576271186440678	train	5	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
DB13944	Testosterone enanthate	DB00624	Testosterone		DB13944	CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.603448275862069	train	5	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
DB13946	Testosterone undecanoate	DB00624	Testosterone		DB13946	CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	DrugBank	0.603448275862069	train	5	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
DB13953	Estradiol benzoate	DB00783	Estradiol		DB13953	CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.6363636363636364	train	5	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
DB13954	Estradiol cypionate	DB00783	Estradiol		DB13954	CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.5666666666666667	train	5	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
DB13956	Estradiol valerate	DB00783	Estradiol		DB13956	CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.6140350877192983	train	5	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
DB15465	Benzhydrocodone	DB00956	Hydrocodone		DB15465	COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314	COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	DrugBank	0.5882352941176471	train	5	COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314
DB15566	Prednisolone acetate	DB00860	Prednisolone		DB15566	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	DrugBank	0.7758620689655172	train	5	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
DB00136	Calcitriol	DBMET00575	Calcitroic acid		DB00169	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O	DrugBank	0.703125	train	5	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O
DB00295	Morphine	DBMET00649	Normorphine		DB00295	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341	DrugBank	0.6	train	5	Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341
DB00327	Hydromorphone	DBMET00179	Norhydromorphone	Cytochrome P450 3A4, Cytochrome P450 2C9	DB15465	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	O=C1CCC2C3Cc4ccc(O)c5c4C2(CCN3)C1O5	Both	0.625	train	5	O=C1CCC2C3Cc4ccc(O)c5c4C2(CCN3)C1O5.CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5.CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(=O)CCC3C1C5
DB00624	Testosterone	DBMET01762	2alpha-hydroxytestosterone	Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19	DB01420	CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	CC12CC(O)C(=O)C=C1CCC1C2CCC2(C)C(O)CCC12	Both	0.7021276595744681	train	5	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O.CC12CC(O)C(=O)C=C1CCC1C2CCC2(C)C(O)CCC12.CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CC(O)C12.CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)C(O)CC12.CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12.CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O.CC12CCC3C(CCC4=CC(=O)CC(O)C43C)C1CCC2O.CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(O)CCC12.CC12CCC(=O)C=C1C(O)CC1C2CCC2(C)C(O)CCC12
