parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	TB_Cluster	possible_products
DB00780	Phenelzine	DB09269	Phenylacetic acid		DB00780	NNCCc1ccccc1	O=C(O)Cc1ccccc1	DrugBank	0.3333333333333333	train	3	O=C(O)Cc1ccccc1.NCCc1ccccc1.NNCCc1ccc(O)cc1
DB00780	Phenelzine	DB04325	Phenethylamine		DB00780	NNCCc1ccccc1	NCCc1ccccc1	DrugBank	0.5217391304347826	train	3	O=C(O)Cc1ccccc1.NCCc1ccccc1.NNCCc1ccc(O)cc1
DB07565	Chloramphenicol succinate	DB00446	Chloramphenicol		DB07565	O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1	O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	DrugBank	0.64	train	3	O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
DB00231	Temazepam	DBMET00650	Oxazepam glucuronide		DB00829	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O	DrugBank	0.3623188405797101	train	3	O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O.OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
DB00208	Ticlopidine	DBMET00091	2-Chloroticlopidine	Myeloperoxidase	DB00208	Clc1ccccc1CN1CCc2sccc2C1	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2	DrugBank	0.6666666666666666	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00208	Ticlopidine	DBMET00092	2-Oxoticlopidine	Cytochrome P450 3A4, Cytochrome P450 2C19	DB00208	Clc1ccccc1CN1CCc2sccc2C1	O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1	DrugBank	0.4509803921568627	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00208	Ticlopidine	DBMET00093	Thienodihydropyridinium	Myeloperoxidase, Cytochrome P450 3A4, Cytochrome P450 2C19	DB00208	Clc1ccccc1CN1CCc2sccc2C1	Clc1ccccc1CN1C=C2C=C[S+]=C2CC1	Both	0.3653846153846153	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00208	Ticlopidine	DBMET00094	Ticlopidine S-oxide	Cytochrome P450 2C19, Cytochrome P450 2D6	DB00208	Clc1ccccc1CN1CCc2sccc2C1	[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2	Both	0.5434782608695652	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00208	Ticlopidine	DBMET00095	Dehydrogenated ticlopidine	Myeloperoxidase	DB00208	Clc1ccccc1CN1CCc2sccc2C1	Clc1ccccc1CN1C=Cc2sccc2C1	DrugBank	0.5217391304347826	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00208	Ticlopidine	DBMET00096	Ticlopidine N-oxide	Myeloperoxidase	DB00208	Clc1ccccc1CN1CCc2sccc2C1	[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1	DrugBank	0.5106382978723404	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00208	Ticlopidine	DBMET00618	7-Hydroxyticlopidine		DB00208	Clc1ccccc1CN1CCc2sccc2C1	OC1CN(Cc2ccccc2Cl)Cc2ccsc21	DrugBank	0.5652173913043478	train	3	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2.O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1.Clc1ccccc1CN1C=C2C=C[S+]=C2CC1.[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2.Clc1ccccc1CN1C=Cc2sccc2C1.[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1.OC1CN(Cc2ccccc2Cl)Cc2ccsc21
DB00349	Clobazam	DBMET00281	N-desmethylclobazam	Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 3A5, Cytochrome P450 3A7, Cytochrome P450 1A2, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 2C18	DB00349	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1	DrugBank	0.5777777777777777	train	3	O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1.CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21.O=C1CC(O)=Nc2ccc(Cl)cc2N1c1ccccc1
DB00349	Clobazam	DBMET00743	4'-hydroxyclobazam	Cytochrome P450 2C18, Cytochrome P450 2C19	DB00349	CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21	CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21	Both	0.7560975609756098	train	3	O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1.CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21.O=C1CC(O)=Nc2ccc(Cl)cc2N1c1ccccc1
