parent_name	child_name	reactants	products	origin	source	set	possible_products
1_2-dibromoethane	2-bromoacetaldehyde 	C(Br)CBr	C(Br)C=O	1_2-dibromoethane	MetXBioDB	train	C(Br)C=O
2-iodobenzyl bromide		C(Br)c1ccccc1I	C(Br)c1ccccc1SCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O	2-iodobenzyl bromide	MetXBioDB	train	C(Br)c1ccccc1SCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O
Brimonidine	3-oxobrimonidine 	C1(Nc2c(Br)c3c(cc2)nccn3)=NCCN1	C1(Nc2c(Br)c3c(cc2)NCC(O)=N3)=NCCN1	DB00484	DrugBank	train	C1(Nc2c(Br)c3c(cc2)NCC(O)=N3)=NCCN1
15-alpha-hydroxydesogestrel		C12(CC)C(C#C)(O)CC(O)C1C1C(C(=C)C2)C2C(=CCCC2)CC1	C12(CC)C(C#C)(OC3OC(C(=O)O)C(O)C(O)C3O)CC(O)C1C1C(C(=C)C2)C2C(=CCCC2)CC1	15-alpha-hydroxydesogestrel	MetXBioDB	train	C12(CC)C(C#C)(OC3OC(C(=O)O)C(O)C(O)C3O)CC(O)C1C1C(C(=C)C2)C2C(=CCCC2)CC1
17alpha-Ethinylestradiol	6beta-OH-17beta-Ethinylestradiol	OC1(C#C)CCC2C1(C)CCC1C2(C)CCc2c1ccc(O)c2	OC1(C#C)CCC2C1(C)CCC1C2(C)CC(O)c2c1ccc(O)c2	17alpha-Ethinylestradiol	MetXBioDB	train	OC1(C#C)CCC2C1(C)CCC1C2(C)CC(O)c2c1ccc(O)c2
17-desacetylnorgestimate	Norgestrel	C1(=NO)CCC2C3CCC4(CC)C(C#C)(O)CCC4C3CCC2=C1	C1(=O)CCC2C3CCC4(CC)C(C#C)(O)CCC4C3CCC2=C1	DB00957	DrugBank	train	C1(=O)CCC2C3CCC4(CC)C(C#C)(O)CCC4C3CCC2=C1
Etonogestrel	Etonogestrel glucuronide	C1CC2C3CCC(C#C)(O)C3(CC)CC(=C)C2C2C1=CC(=O)CC2	C1CC2C3CCC(C#C)(O)C3(CC)CC(=C)C2C2C1=CC(OC1OC(O)C(O)C(O)C1O)CC2	DB00294	DrugBank	train	C1CC2C3CCC(C#C)(O)C3(CC)CC(=C)C2C2C1=CC(OC1OC(O)C(O)C(O)C1O)CC2
Norethisterone	5α-dihydronorethisterone	CC12C(C#C)(O)CCC1C1C(CC2)C2C(=CC(=O)CC2)CC1	CC12C(C#C)(O)CCC1C1C(CC2)C2C(CC1)CC(=O)CC2	DB00717	DrugBank	train	CC12C(C#C)(O)CCC1C1C(CC2)C2C(CC1)CC(=O)CC2
Norgestrel	Norgestrel Glucuronide Metabolite (Met9)	CCC12C(C#C)(O)CCC1C1C(CC2)C2C(=CC(=O)CC2)CC1	CCC12C(C#C)(OC3OC(C(=O)O)C(O)C(O)C3O)CCC1C1C(CC2)C2C(=CC(=O)CC2)CC1	DB09389	DrugBank	train	CCC12C(C#C)(OC3OC(C(=O)O)C(O)C(O)C3O)CCC1C1C(CC2)C2C(=CC(=O)CC2)CC1
3-alpha-hydroxydesogestrel		OC1CCC2C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC2=C1	O(C1CCC2C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC2=C1)C1OC(C(=O)O)C(O)C(O)C1O	3-alpha-hydroxydesogestrel	MetXBioDB	train	O(C1CCC2C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC2=C1)C1OC(C(=O)O)C(O)C(O)C1O
Desogestrel	15-alpha-hydroxydesogestrel	C12C3C(=C)CC4(CC)C(C#C)(O)CCC4C3CCC1=CCCC2	C12C3C(=C)CC4(CC)C(C#C)(O)CC(O)C4C3CCC1=CCCC2	DB00304	DrugBank	train	C12C3C(=C)CC4(CC)C(C#C)(O)CC(O)C4C3CCC1=CCCC2
