parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	TB_Cluster	possible_products
DB01086	Benzocaine	DB02362	Aminobenzoic acid		DB01086	CCOC(=O)c1ccc(N)cc1	Nc1ccc(C(=O)O)cc1	DrugBank	0.4814814814814814	train	3	Nc1ccc(C(=O)O)cc1.CCOC(=O)c1ccc(NC(C)=O)cc1.CCOC(=O)c1ccc(NO)cc1
DB01394	Colchicine	DB15534	Colchiceine		DB01394	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2	Both	0.8490566037735849	train	3	COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2.COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2.COc1c(O)cc2c(c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
DB02362	Aminobenzoic acid	DBMET03290	4-Acetaminobenzoic acid		DB01086	Nc1ccc(C(=O)O)cc1	CC(=O)Nc1ccc(C(=O)O)cc1	DrugBank	0.4615384615384615	train	3	CC(=O)Nc1ccc(C(=O)O)cc1
DB00176	Fluvoxamine	DBMET00250	fluvoxamino acid	Cytochrome P450 1A2	DB00176	COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1	NCCON=C(CCCC(=O)O)c1ccc(C(F)(F)F)cc1	DrugBank	0.7021276595744681	train	3	NCCON=C(CCCC(=O)O)c1ccc(C(F)(F)F)cc1
DB00211	Midodrine	DBMET00829	desglymidodrine		DB00211	COc1ccc(OC)c(C(O)CNC(=O)CN)c1	COc1ccc(OC)c(C(O)CN)c1	DrugBank	0.65	train	3	COc1ccc(OC)c(C(O)CN)c1
DB00243	Ranolazine	DBMET02254	CVT-3388	Cytochrome P450 3A4, Cytochrome P450 2D6	DB00243	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)ccc(O)c2C)CC1	DrugBank	0.8070175438596491	train	3	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)ccc(O)c2C)CC1
DB00409	Remoxipride	DBMET03192	Remoxipride Metabolite FLA 838		DB00409	CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC	COc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1	DrugBank	0.6071428571428571	train	3	COc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1.CCN1C(=O)CCC1CNC(=O)c1c(OC)ccc(Br)c1OC.COc1ccc(Br)c(OC)c1C(N)=O
DB00409	Remoxipride	DBMET03193	Remoxipride Metabolite FLA 850		DB00409	CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC	CCN1C(=O)CCC1CNC(=O)c1c(OC)ccc(Br)c1OC	DrugBank	0.6666666666666666	train	3	COc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1.CCN1C(=O)CCC1CNC(=O)c1c(OC)ccc(Br)c1OC.COc1ccc(Br)c(OC)c1C(N)=O
DB00409	Remoxipride	DBMET03197	Remoxipride Metabolite FLA 853		DB00409	CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC	COc1ccc(Br)c(OC)c1C(N)=O	DrugBank	0.4230769230769231	train	3	COc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1.CCN1C(=O)CCC1CNC(=O)c1c(OC)ccc(Br)c1OC.COc1ccc(Br)c(OC)c1C(N)=O
DB00440	Trimethoprim	DBMET03019	3-NO-TMP	Cytochrome P450 1A2	DB00440	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC	DrugBank	0.6136363636363636	train	3	COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC.COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC.COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O.COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC
DB00440	Trimethoprim	DBMET03020	1-NO-TMP	Cytochrome P450 3A4	DB00440	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC	DrugBank	0.5777777777777777	train	3	COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC.COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC.COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O.COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC
