parent_name	child_name	reactants	products	origin	source	set	possible_products
1_2-dibromoethane	2-bromoacetaldehyde 	C(CBr)Br	C(CBr)=O	1_2-dibromoethane	MetXBioDB	train	C(CBr)=O
2-iodobenzyl bromide		c1(I)c(CBr)cccc1	c1(SCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)c(CBr)cccc1	2-iodobenzyl bromide	MetXBioDB	train	c1(SCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)c(CBr)cccc1
Brimonidine	2-oxobrimonidine	Brc1c(NC2=NCCN2)ccc2c1nccn2	Brc1c(NC2=NCCN2)ccc2c1ncc(=O)n2	DB00484	DrugBank	train	Brc1c(NC2=NCCN2)ccc2c1ncc(=O)n2
15-alpha-hydroxydesogestrel		C12=CCCCC1C1C(=C)CC3(CC)C(C#C)(O)CC(O)C3C1CC2	C12=CCCCC1C1C(=C)CC3(CC)C(C#C)(OC4OC(C(=O)O)C(O)C(O)C4O)CC(O)C3C1CC2	15-alpha-hydroxydesogestrel	MetXBioDB	train	C12=CCCCC1C1C(=C)CC3(CC)C(C#C)(OC4OC(C(=O)O)C(O)C(O)C4O)CC(O)C3C1CC2
17alpha-Ethinylestradiol	2beta-OH-17beta-Ethinylestradiol	c12c(ccc(O)c1)C1CCC3(C)C(C#C)(O)CCC3C1(C)CC2	c12c(cc(O)c(O)c1)C1CCC3(C)C(C#C)(O)CCC3C1(C)CC2	17alpha-Ethinylestradiol	MetXBioDB	train	c12c(cc(O)c(O)c1)C1CCC3(C)C(C#C)(O)CCC3C1(C)CC2
17-desacetylnorgestimate	Norgestrel	C12CCC3(CC)C(C#C)(O)CCC3C1CCC1=CC(=NO)CCC21	C12CCC3(CC)C(C#C)(O)CCC3C1CCC1=CC(=O)CCC21	DB00957	DrugBank	train	C12CCC3(CC)C(C#C)(O)CCC3C1CCC1=CC(=O)CCC21
Etonogestrel	Etonogestrel sulfate	C12=CC(=O)CCC1C1C(=C)CC3(CC)C(C#C)(O)CCC3C1CC2	C12=CC(OS(=O)(=O)C(C)C)CCC1C1C(=C)CC3(CC)C(C#C)(O)CCC3C1CC2	DB00294	DrugBank	train	C12=CC(OS(=O)(=O)C(C)C)CCC1C1C(=C)CC3(CC)C(C#C)(O)CCC3C1CC2
Norethisterone	5α-dihydronorethisterone	C#CC1(O)CCC2C1(C)CCC1C2CCC2=CC(=O)CCC12	C#CC1(O)CCC2C1(C)CCC1C2CCC2C1CCC(=O)C2	DB00717	DrugBank	train	C#CC1(O)CCC2C1(C)CCC1C2CCC2C1CCC(=O)C2
Norgestrel	Norgestrel Glucuronide Metabolite (Met9)	C1C2C3CCC4(CC)C(C#C)(O)CCC4C3CCC2=CC(=O)C1	C1C2C3CCC4(CC)C(C#C)(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC2=CC(=O)C1	DB09389	DrugBank	train	C1C2C3CCC4(CC)C(C#C)(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC2=CC(=O)C1
3alpha-Hydroxydesogestrel	Etonogestrel	C1CC(C#C)(O)C2(CC)C1C1C(C(=C)C2)C2C(=CC(O)CC2)CC1	C1CC(C#C)(O)C2(CC)C1C1C(C(=C)C2)C2C(=CC(=O)CC2)CC1	DB00304	DrugBank	train	C1CC(C#C)(O)C2(CC)C1C1C(C(=C)C2)C2C(=CC(=O)CC2)CC1
Desogestrel	6-alpha-hydroxydesogestrel	C12CCC(C#C)(O)C1(CC)CC(=C)C1C2CCC2=CCCCC12	C12CCC(C#C)(O)C1(CC)CC(=C)C1C2CC(O)C2=CCCCC12	DB00304	DrugBank	train	C12CCC(C#C)(O)C1(CC)CC(=C)C1C2CC(O)C2=CCCCC12
