parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set,TB_Cluster
DB00624,Testosterone,DB01536,Androstenedione,"Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 3A4",DB01420,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,Both,0.6590909090909091,train,12
DB00741,Hydrocortisone,DB14681,Cortisone,"11-beta-hydroxysteroid dehydrogenase 1, 11-beta-hydroxysteroid dehydrogenase type 2",DB00741,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DrugBank,0.6896551724137931,train,12
DB00860,Prednisolone,DB00635,Prednisone,,DB15566,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DrugBank,0.6896551724137931,train,12
DB01420,Testosterone propionate,DB00624,Testosterone,,DB01420,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DrugBank,0.6415094339622641,train,12
DB01744,Camphor,DB02817,5-Exo-Hydroxycamphor,Cytochrome P450 2D6,DB01744,CC12CCC(CC1=O)C2(C)C,CC12CC(O)C(CC1=O)C2(C)C,Both,0.40625,train,12
DB04575,Quinestrol,DB00977,Ethinylestradiol,,DB04575,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DrugBank,0.7090909090909091,train,12
DB08804,Nandrolone decanoate,DB13169,Nandrolone,"3',5'-cyclic-AMP phosphodiesterase 7B",DB08804,CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,DrugBank,0.603448275862069,train,12
DB13943,Testosterone cypionate,DB00624,Testosterone,,DB13943,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DrugBank,0.576271186440678,train,12
DB13944,Testosterone enanthate,DB00624,Testosterone,,DB13944,CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DrugBank,0.603448275862069,train,12
DB13946,Testosterone undecanoate,DB00624,Testosterone,,DB13946,CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DrugBank,0.603448275862069,train,12
DB13954,Estradiol cypionate,DB00783,Estradiol,,DB13954,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DrugBank,0.5666666666666667,train,12
DB15566,Prednisolone acetate,DB00860,Prednisolone,,DB15566,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,DrugBank,0.7758620689655172,train,12
DB00624,Testosterone,DBMET01762,2alpha-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CC(O)C(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,Both,0.7021276595744681,train,12
DB00624,Testosterone,DBMET01764,15alpha-hydroxytestosterone,Cytochrome P450 3A4,DB01420,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CC(O)C12,Both,0.7021276595744681,train,12
DB00624,Testosterone,DBMET01766,16alpha-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2B6",DB01420,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)C(O)CC12,Both,0.7333333333333333,train,12
DB00624,Testosterone,DBMET00556,Testosterone sulfate,,DB01420,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12,Both,0.6666666666666666,train,12
